Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,769376
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,44040
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,37080
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,160
05/17/2026 12:28:26,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/17/2026 12:28:26,System.Runtime,dotnet.assembly.count ({assembly}),Metric,188
05/17/2026 12:28:26,System.Runtime,dotnet.process.memory.working_set (By),Metric,238895104
05/17/2026 12:28:26,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,2
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,54894592
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,21611344
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,4570384
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,1194744
05/17/2026 12:28:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1016112
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,769376
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,44040
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,37080
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,160
05/17/2026 12:28:27,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/17/2026 12:28:27,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/17/2026 12:28:27,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
05/17/2026 12:28:27,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,28
05/17/2026 12:28:27,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/17/2026 12:28:27,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/17/2026 12:28:27,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/17/2026 12:28:27,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0006433000000001243
05/17/2026 12:28:27,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,29
05/17/2026 12:28:27,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,2
05/17/2026 12:28:27,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.009579000000030646
05/17/2026 12:28:27,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.003348999999843727
05/17/2026 12:28:27,System.Runtime,dotnet.assembly.count ({assembly}),Metric,188
05/17/2026 12:28:27,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/17/2026 12:28:27,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/17/2026 12:28:27,System.Runtime,dotnet.process.memory.working_set (By),Metric,238895104
05/17/2026 12:28:27,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,2
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,54894592
05/17/2026 12:28:27,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,47480
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,21611344
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,4570384
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,1194744
05/17/2026 12:28:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1016112
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,769376
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,44040
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,37080
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,160
05/17/2026 12:28:28,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/17/2026 12:28:28,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/17/2026 12:28:28,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
05/17/2026 12:28:28,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,694
05/17/2026 12:28:28,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/17/2026 12:28:28,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/17/2026 12:28:28,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/17/2026 12:28:28,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.003335599999999772
05/17/2026 12:28:28,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,27
05/17/2026 12:28:28,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,8
05/17/2026 12:28:28,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.011283999999932348
05/17/2026 12:28:28,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.0035420000001522567
05/17/2026 12:28:28,System.Runtime,dotnet.assembly.count ({assembly}),Metric,188
05/17/2026 12:28:28,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/17/2026 12:28:28,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/17/2026 12:28:28,System.Runtime,dotnet.process.memory.working_set (By),Metric,238895104
05/17/2026 12:28:28,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,2
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,54894592
05/17/2026 12:28:28,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,31352
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,21611344
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,4570384
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,1194744
05/17/2026 12:28:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1016112
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,769376
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,44040
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,37080
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,160
05/17/2026 12:28:29,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/17/2026 12:28:29,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/17/2026 12:28:29,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
05/17/2026 12:28:29,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,1282
05/17/2026 12:28:29,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/17/2026 12:28:29,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/17/2026 12:28:29,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/17/2026 12:28:29,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.007691599999997578
05/17/2026 12:28:29,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,28
05/17/2026 12:28:29,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,13
05/17/2026 12:28:29,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.015874000000167143
05/17/2026 12:28:29,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.004545000000007349
05/17/2026 12:28:29,System.Runtime,dotnet.assembly.count ({assembly}),Metric,188
05/17/2026 12:28:29,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/17/2026 12:28:29,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/17/2026 12:28:29,System.Runtime,dotnet.process.memory.working_set (By),Metric,238895104
05/17/2026 12:28:29,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,2
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,54894592
05/17/2026 12:28:29,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32760
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,21611344
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,4570384
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,1194744
05/17/2026 12:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1016112
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,769376
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,44040
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,37080
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,160
05/17/2026 12:28:30,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/17/2026 12:28:30,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/17/2026 12:28:30,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
05/17/2026 12:28:30,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,837
05/17/2026 12:28:30,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/17/2026 12:28:30,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/17/2026 12:28:30,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/17/2026 12:28:30,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.00466300000000075
05/17/2026 12:28:30,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,27
05/17/2026 12:28:30,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,10
05/17/2026 12:28:30,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.011325999999826308
05/17/2026 12:28:30,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.004985999999917112
05/17/2026 12:28:30,System.Runtime,dotnet.assembly.count ({assembly}),Metric,188
05/17/2026 12:28:30,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/17/2026 12:28:30,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/17/2026 12:28:30,System.Runtime,dotnet.process.memory.working_set (By),Metric,239288320
05/17/2026 12:28:30,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,2
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,54894592
05/17/2026 12:28:30,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32744
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,21611344
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,4570384
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,1194744
05/17/2026 12:28:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1016112
05/17/2026 12:28:31,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,769376
05/17/2026 12:28:31,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
