Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
05/17/2026 11:08:10,System.Runtime,dotnet.assembly.count ({assembly}),Metric,168
05/17/2026 11:08:10,System.Runtime,dotnet.timer.count ({timer}),Metric,6
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,163544
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,20112
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,5550080
05/17/2026 11:08:10,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
05/17/2026 11:08:10,System.Runtime,dotnet.process.memory.working_set (By),Metric,138096640
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,98384
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,171968
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,792616
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1312640
05/17/2026 11:08:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,57192
05/17/2026 11:08:11,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/17/2026 11:08:11,System.Runtime,dotnet.assembly.count ({assembly}),Metric,168
05/17/2026 11:08:11,System.Runtime,dotnet.timer.count ({timer}),Metric,6
05/17/2026 11:08:11,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,26
05/17/2026 11:08:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.012386000000000008
05/17/2026 11:08:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.0527709999999999
05/17/2026 11:08:11,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.042275400000000074
05/17/2026 11:08:11,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,16844
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,163544
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,20112
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,5550080
05/17/2026 11:08:11,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,40992
05/17/2026 11:08:11,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/17/2026 11:08:11,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/17/2026 11:08:11,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
05/17/2026 11:08:11,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
05/17/2026 11:08:11,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,140
05/17/2026 11:08:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/17/2026 11:08:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/17/2026 11:08:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/17/2026 11:08:11,System.Runtime,dotnet.process.memory.working_set (By),Metric,138883072
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,98384
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,171968
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,792616
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1312640
05/17/2026 11:08:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,57192
05/17/2026 11:08:12,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/17/2026 11:08:12,System.Runtime,dotnet.assembly.count ({assembly}),Metric,168
05/17/2026 11:08:12,System.Runtime,dotnet.timer.count ({timer}),Metric,6
05/17/2026 11:08:12,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,26
05/17/2026 11:08:12,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.005910000000000082
05/17/2026 11:08:12,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.04550500000000035
05/17/2026 11:08:12,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.039341199999999965
05/17/2026 11:08:12,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,13221
05/17/2026 11:08:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
05/17/2026 11:08:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,163544
05/17/2026 11:08:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
05/17/2026 11:08:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,20112
05/17/2026 11:08:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
