Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
05/12/2026 16:22:08,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,2
05/12/2026 16:22:08,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/12/2026 16:22:08,System.Runtime,dotnet.process.memory.working_set (By),Metric,208969728
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,37498880
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,186880
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1016112
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,5179464
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,131784
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,6456
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,178528
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,160
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,8240
05/12/2026 16:22:08,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,144
05/12/2026 16:22:08,System.Runtime,dotnet.assembly.count ({assembly}),Metric,183
05/12/2026 16:22:09,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,2
05/12/2026 16:22:09,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
05/12/2026 16:22:09,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,9067
05/12/2026 16:22:09,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/12/2026 16:22:09,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/12/2026 16:22:09,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/12/2026 16:22:09,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/12/2026 16:22:09,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/12/2026 16:22:09,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.005628999999998996
05/12/2026 16:22:09,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.03991600000000517
05/12/2026 16:22:09,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,26
